Name,Type,Latitude,Longitude,City,Country
premier inn,hotel,55.8508185082755,-4.249842166900635,glasgow,united kingdom
premier inn city south bar  bisto,gastropub,55.85093740495708,-4.249921676556452,glasgow,united kingdom
benny bar ,hotel bar,55.850862,-4.249813,glasgow,united kingdom
wards house,home private,55.857262422384466,-4.243544717739007,,united kingdom
city of glasgow college - florence st.,college academic building,55.85137258606393,-4.246655702590942,glasgow,united kingdom
adelphi centre,convention center,55.85074623667722,-4.244091510772705,glasgow,united kingdom
nelsons monument on glasgow green,monument  landmark,55.85149303671178,-4.24072265625,glasgow,united kingdom
peoples palace,history museum,55.85127315304659,-4.237347032403617,glasgow,united kingdom
winter garden at the peoples palace,garden,55.85135826853885,-4.23735398067763,,united kingdom
west brewery bar  restaurant,brewery,55.85092089280965,-4.233952760696411,glasgow,united kingdom
philip lang cycles,bike shop,55.85090228,-4.23410712,glasgow,united kingdom
glasgow london road  green street no 60901490,bus station,55.851381468414104,-4.2332710080496865,glasgow,united kingdom
touchbase business centre,building,55.85175802682296,-4.283294677734375,glasgow,united kingdom
the stanley bar,bar,55.852394,-4.279349,glasgow,united kingdom
cotton print factory shop,hobby shop,55.851901,-4.279141,,united kingdom
quayside,pub,55.85238670519452,-4.277403719234217,glasgow,united kingdom
kingston bridge trading estate,miscellaneous shop,55.85209778293739,-4.2762231712319085,glasgow,united kingdom
martin aitken,office,55.852102200000004,-4.2770604500000005,glasgow,united kingdom
la group,other nightlife,55.852468,-4.276147,,united kingdom
la bartenders,cocktail bar,55.852290570787474,-4.276094635070053,glasgow,united kingdom
edmundson electric,factory,55.85223226,-4.273873748610007,glasgow,united kingdom
the pretty palace,home private,55.85624467479787,-4.272970174204185,,united kingdom
audi garage,automotive shop,55.851916,-4.269854,,united kingdom
lime light,caf,55.85225594718726,-4.264696658577736,,united kingdom
limelight shisha,smoke shop,55.85233577280545,-4.265063421688745,glasgow,united kingdom
osama bin laden cave,campground,55.852278,-4.262332,,united kingdom
osama bin laden cave,campground,55.852278,-4.262332,,united kingdom
mount cook cafe,caf,55.852359771728516,-4.262872219085693,,united kingdom
dubia grill,restaurant,55.85179924964743,-4.26168,glasgow,united kingdom
the old hairdressers,bar,55.851732838022635,-4.2599971976075315,,united kingdom
fantoosh,hookah bar,55.85215159333456,-4.26044155859859,,united kingdom
inntro,bar,55.8517875,-4.2608826,glasgow,united kingdom
bridge street subway station,subway,55.852044093664794,-4.258816838264465,glasgow,united kingdom
train 2 blackpool,train,55.852344,-4.259891,,united kingdom
bus stop 60902618,bus line,55.85230276983476,-4.259099058805877,glasgow,united kingdom
capital cars,taxi,55.85228,-4.25687,,united kingdom
city building skills academy,,55.85181614083392,-4.256191601551571,glasgow,united kingdom
casa kelly,home private,55.85675448091222,-4.258256053280727,glasgow,united kingdom
route 66 glasgow to east kilbride,bus line,55.852397,-4.252303,,united kingdom
glasgow central mosque,mosque,55.85197483556996,-4.251408576965332,glasgow,united kingdom
victoria bar,dive bar,55.85170943975564,-4.249767094378889,glasgow,united kingdom
al dente,italian restaurant,55.85241846437713,-4.250392610999332,,united kingdom
halls of residence,college residence hall,55.852096,-4.249857,glasgow,united kingdom
city of glasgow college - riverside,college academic building,55.851913107380305,-4.248806403380799,glasgow,united kingdom
glasgow life adelphi,coworking space,55.851594409779075,-4.2471395482286285,glasgow,united kingdom
the flat,home private,55.857262422384466,-4.243544717739007,glasgow,united kingdom
clyde arc,bridge,55.851929667180734,-4.244032502174377,glasgow,united kingdom
bank of scotland,bank,55.85206100117364,-4.244508359830725,glasgow,united kingdom
moffat st care home,home private,55.857262422384466,-4.243544717739007,,united kingdom
the world bagpipe championships,music venue,55.8524,-4.2416,glasgow,united kingdom
glasgow green,park,55.85195074576892,-4.2411088943481445,glasgow,united kingdom
great scottish run finish,event space,55.851796184246275,-4.239714916957457,,united kingdom
the doulton fountain,sculpture garden,55.851625531993214,-4.236280918121338,glasgow,united kingdom
inspire studios,general entertainment,55.851591528136176,-4.23617332970175,,united kingdom
glasgow bike shed,bike shop,55.852108,-4.235927,,united kingdom
the calton bar,bar,55.85177,-4.2342,glasgow,united kingdom
pauls,home private,55.85776850024469,-4.228836169869985,,united kingdom
mcgills 38,moving target,55.852801,-4.285104,,united kingdom
casa del cam and kev,home private,55.85573300301182,-4.287687078216173,glasgow,united kingdom
home sweet home,home private,55.85573300301182,-4.287687078216173,,united kingdom
casa del cam  shadow,home private,55.85573300301182,-4.287687078216173,glasgow,united kingdom
casa del cam  shadow,home private,55.85573300301182,-4.287687078216173,glasgow,united kingdom
city gym,gym,55.853053729345504,-4.283455412983544,glasgow,united kingdom
firstglasgow no 56,bus line,55.852905143005316,-4.284249928016876,glasgow,united kingdom
ka faraq gatris home,home private,55.85573300301182,-4.287687078216173,glasgow,united kingdom
portman motors,automotive shop,55.85291290283203,-4.282087326049805,,united kingdom
panda hut,chinese restaurant,55.85332384059617,-4.281213283538818,glasgow,united kingdom
mr clutch glasgow,automotive shop,55.852634,-4.281671,glasgow,united kingdom
aquatron,sporting goods shop,55.85271656513214,-4.280258417129517,glasgow,united kingdom
arran surgery,medical center,55.85294243282677,-4.279891630442759,glasgow,united kingdom
ailsa surgery,medical center,55.852501,-4.278691,glasgow,united kingdom
morplan,miscellaneous shop,55.85265536628003,-4.278616905212402,glasgow,united kingdom
coral reef,pet store,55.85291078931813,-4.278251018978826,,united kingdom
kabana,indian restaurant,55.85291136010797,-4.277262363908682,glasgow,united kingdom
flowerscene,flower shop,55.852499625569756,-4.277284270596326,glasgow,united kingdom
dulux decorator centre,hardware store,55.853204,-4.275543,,united kingdom
toolstation,hardware store,55.8531949025329,-4.275680127305523,,united kingdom
city electric factors,factory,55.853185188496965,-4.275972548840093,,united kingdom
edmunsons,,55.8530891,-4.2740087,,united kingdom
hirestation,,55.85331,-4.274273,,united kingdom
screwfix direct,hardware store,55.85309499482744,-4.273810386657715,glasgow,united kingdom
electricfix,miscellaneous shop,55.853101,-4.27303,glasgow,united kingdom
travelodge,hotel,55.85295045996337,-4.272415637969971,glasgow,united kingdom
travelodge glasgow paisley road,hotel,55.852614,-4.272028,,united kingdom
aileymill primary school,school,55.85288619995117,-4.272228240966797,,united kingdom
all saints primary school,school,55.85288619995117,-4.272228240966797,,united kingdom
my amazeballs home,home private,55.85624467479787,-4.272970174204185,glasgow,united kingdom
422.tv post production,building,55.85319737336425,-4.26892876625061,,united kingdom
clarence house  the prism,residential building apartment  condo,55.853002,-4.269048,,united kingdom
the co-op building,building,55.85311541941129,-4.268952245977265,glasgow,united kingdom
the co-operative funeralcare,funeral home,55.853376,-4.268807,,united kingdom
house of sher,,55.853386,-4.268796,,united kingdom
wallace street,road,55.852721611995825,-4.2675018310546875,glasgow,united kingdom
the kingston quay courtyard,garden,55.853055,-4.267303,,united kingdom
