Text,WeekDay,Month,Day,Time,#NAME?,Year,Location,Language,Followerscount,Friendscount
rt detta90s jen peux plus de ces gens la  hartzala gad sa  httptcoz2dntwxrog,mon,sep,4,19:02:02,0,2013,,fr,237,167
por qu somos irreflexivos httptcovzv83s0s1m va lavanguardia,mon,sep,4,19:02:02,0,2013,villanueva de las torres,es,408,423
srknhakan ahahaha d aynen ya d duzgunu beni bulmaz zaten d,mon,sep,30,19:02:02,0,2013,,tr,9,5
radiotimes rose parties hard and matthew speaks from beyond the grave in downtonabbey series four episode two httptconq7y7irqyk,mon,sep,4,19:02:02,0,2013,manchester liverpool  uk,en,286,1100
susu nounnaditaa,mon,sep,5,19:02:02,0,2013,bekasi - west java,id,1017,561
rt yacoub77zoo leo tu es le pls con d entre ns,mon,sep,5,19:02:02,0,2013,,fr,113,93
cannot waot to leave nevercomingback,mon,sep,5,19:02:02,0,2013,,en,34,51
open enrollment for affordable care act begins tomorrow -- crepeau has a super helpful guide to navigating it httptco4ddedll17h,mon,sep,30,19:02:02,0,2013,chicago il usa,en,86559,11353
erdoo new ava mb,mon,sep,5,19:02:02,0,2013,,en,320,119
sube tu autoestima querida no tu falda,mon,sep,5,19:02:02,0,2013,venezuela,es,141,133
drunkoftwbiebz omg hahahah thats a new one,mon,sep,5,19:02:02,0,2013,• in jays nonexistent hair •,en,1964,1571
abril rios more like abril be my wife,mon,sep,5,19:02:02,0,2013,usa,en,602,956
ex0314ldh ,mon,sep,30,19:02:02,0,2013,,ja,305,311
sigam gtgt shupsel shupsel shupsel shupsel shupsel shupsel shupsel shupsel shupsel shupsel shupsel shupsel shupsel shupsel ltlt 4x,mon,sep,5,19:02:02,0,2013,em um lugar desconhecido ,pt,483,573
happy birthday  caligirljoanna have a good one ,mon,sep,5,19:02:02,0,2013,lacali grandklanselfieking,en,748,424
cataberdini gabrlgtti y bueno capaz que le sobraron,mon,sep,5,19:02:02,0,2013,la plata,es,102,211
rt filosofiatipica nada ms bonito que una persona que sepa sacarte una sonrisa cuando ms lo necesitas,mon,sep,30,19:02:02,0,2013,el salvador,es,156,150
rt candacestrick10 i wanna go on a road trip,mon,sep,5,19:02:02,0,2013,lumberton nc ,en,758,494
wow makin memanas pasang selimutkipas2 sate,mon,sep,1,19:02:02,0,2013,hogwarts  sometimes in narnia,en,1073,769
oceanhasfaith ddowdy34 nitzagabrielle you didnt even go to the last one i know my invite got lost in the mail,mon,sep,5,19:02:02,0,2013,,en,393,297
rt migueltrinidada peajes masivos o eurovietas para salvar a grandes grupos constructores de autopistasy a nosotros quien nos salva …,mon,sep,30,19:02:02,0,2013,espaa,es,315,597
rt evamcf muchas felicidades carlosjose95 disfruta de tus 18 y esas cosillas besis,mon,sep,5,19:02:02,0,2013,len fuensalida toledo,es,557,481
aunque se que las llevo de perder prefiero dar un salto a lo desconocido,mon,sep,5,19:02:02,0,2013,,en,225,210
llegar al nivel de estupidez mximo que coges el vaso con jugo y que se te riegue en toda la comida,mon,sep,5,19:02:02,0,2013,,es,466,775
vasy les cours sa me soul,mon,sep,5,19:02:02,0,2013,femmedecaractreteamdance,fr,95,96
recuerda que yo tambin s fingir que no me importas no lo olvides,mon,sep,30,19:02:02,0,2013,,es,225,248
rt signosdehoje aqurio quando estiver muito difcil de ficar de p ajoelhe-se,mon,sep,5,19:02:02,0,2013,cuiab - mt ,es,383,153
world view algeria cracks down on jihadists headed for syria via globenewsfeed   httptcomawirtl7lm,mon,sep,5,19:02:02,0,2013,city that never sleeps nyc,en,523,504
mmosomm  ,mon,sep,5,19:02:02,0,2013,,en,158,105
thuthu maqhosha ,mon,sep,30,19:02:02,0,2013,south afric,en,766,278
dequevas busca porque siempre hay oro en la basura,mon,sep,30,19:02:02,0,2013,madrid,es,97,47
bielejewska 08pati lusiaax nandosbejbe haha muzeum stylesa wol nie wiedzie jakie jeszcze dasz tam eksponaty xd hahah xd,mon,sep,30,19:02:02,0,2013,poland,pl,989,1250
rt wikegard fler spelare med dif anknytning  i fbk 4 n vrmlnningar 3 vart r hockeyn p vg  wesslau har gott frn att vara bs…,mon,sep,30,19:02:02,0,2013,,sv,41,93
rt antonio98zc ya en casa despus de hacerle una visitilla a la nia ms guapa loreloveme ,mon,sep,30,19:02:02,0,2013,,es,644,591
casio ve retro model diyorum baka da birey demiyorum,mon,sep,30,19:02:02,0,2013,istanbul - turkey,tr,111,88
jivezachy fuck you miss u2,mon,sep,30,19:02:02,0,2013,,en,117,587
xtrolfacex i have pics to show you i need you to klk me misshottiexx,mon,sep,30,19:02:02,0,2013,,en,0,3
paroles de chanson astrud gilberto - here is that rainy day traduction lyrics httptcodvmod2houe,mon,sep,30,19:02:02,0,2013,,ru,73,1951
uunnnnnnn~ rtjeriychiq danielabdhalim hahaha  ann annnn ,mon,sep,30,19:02:02,0,2013, shah alam,en,348,180
nice to meet jonathan night look for the new acquaintances in the streets of london httptco3pmjajespb ipad ipadgame,mon,sep,30,19:02:02,0,2013,,en,0,3
rt ribeiromicael morenas gt loiras,mon,sep,30,19:02:02,0,2013,,en,240,231
rt assj11     httptcofbdton2oqd,mon,sep,12,19:02:02,0,2013,,ar,38,93
xxevanilson myrishax bedreiging,mon,sep,12,19:02:02,0,2013,161298,nl,258,199
personasimportantesenmivida todas aquellas que no han fallado saben quienes son,mon,sep,12,19:02:02,0,2013,,es,219,145
trek roraima tepuy 6d5n bs 6590 pp tincluidohospcarpasbao porttil comidasetc - httptcojgngtzwp2t anuncios,mon,sep,12,19:02:02,0,2013,valencia,es,16114,15919
rt zaytung aklanan paketle biraz daha zgrleen trkiye babakana soru sorabilen lk gazeteciyi 2023e yetitirmeyi umuyorhttpt…,mon,sep,12,19:02:02,0,2013,zmir,tr,138,128
rt navdeportiva si lo deseis podis seguir en directo streaming la caoasamblea a travs de httptcoibijpqefkc,mon,sep,17,19:02:02,0,2013,pamplonairua,es,871,521
minecraft  chest minecraft  chest httptcomv6g2zait7 httptcoziyr8i12vu,mon,sep,17,19:02:02,0,2013,,ru,0,1
hahha jaken siah haha rt fauzanbalweel beungeutna oge garetek kitu djulilukman hahahaha mita dan dara berdendang pa tukang mumuteran,mon,sep,17,19:02:02,0,2013,bandung,id,226,355
rt camilacabello97 thanks for having us on tour with you id say this was a childhood dream but this was literally unimaginable lol ddlov…,mon,sep,17,19:02:02,0,2013,,ar,441,395
rt thornehill 1 month to release date have you pre ordered your copy of tomorrowhttptco5yvgermdsl,mon,sep,17,19:02:02,0,2013,london,en,2745,851
rt selinaladag allah yolunda tozlanan ayaklara cehennem atei dokunmaz,mon,sep,17,19:02:02,0,2013,,tr,48,60
rt larzhoban is it cold in here ping,mon,sep,17,19:02:02,0,2013,,en-gb,117,17
i posted a new photo to facebook httptcogkfda5r89n,mon,sep,17,19:02:02,0,2013,,en,31,265
rt jocelyncarbon les profs qui veulent rattraper une heure de cours parce-quils taient absent ltltltlt wsh tes pas la tes pas la  casse…,mon,sep,17,19:02:02,0,2013,93,fr,279,214
